@relation arff_backlog-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute procmem_read numeric
@attribute winhooks_used numeric
@attribute services_opened numeric
@attribute regkeys_read numeric
@attribute network_connections numeric
@attribute memory_modified numeric
@attribute regkeys_created numeric
@attribute processes_exited numeric
@attribute files_deleted numeric
@attribute regkeys_deleted numeric
@attribute threads numeric
@attribute directories_created numeric
@attribute mutexes_created numeric
@attribute regkeys_opened numeric
@attribute files_created numeric
@attribute services_modified numeric
@attribute files_opened numeric
@attribute files_copied numeric
@attribute processes_created numeric
@attribute directories_searched numeric
@attribute files_written numeric
@attribute mutexes_opened numeric
@attribute regkeys_closed numeric
@attribute libraries_loaded numeric
@attribute files_moved numeric
@attribute debugger_check numeric
@attribute regkeys_written numeric
@attribute services_created numeric
@attribute services_started numeric
@attribute system_modified numeric
@attribute files_executed numeric
@attribute files_read numeric
@attribute processes_modified numeric
@attribute directories_deleted numeric
@attribute files_modified numeric
@attribute procmem_written numeric
@attribute dlls_loaded numeric
@attribute class {emf_good,emf_bad,jpg_good,jpg_bad,gif_good,gif_bad,doc_good,doc_bad,docx_good,docx_bad,WMF_good,WMF_bad,bmp_good,bmp_bad,pptx_good,pptx_bad,png_good,png_bad,xls_good,xls_bad,xlsx_good,xlsx_bad,pdf_good,pdf_bad,exe_good,exe_bad,zip_good,zip_bad,rtf_good,rtf_bad,ppt_good,ppt_bad,xml_good,xml_bad,xhtml_good,xhtml_bad,tif_good,tif_bad,elf_good,elf_bad,sh_good,sh_bad,other_good,other_bad}

@data
0,13,0,8623,21,309,361,0,1,21,16,6,32,4914,192,0,31,0,0,177,5,11,2282,174,1,10,323,0,0,0,0,243,199,0,19,0,182,doc_bad
0,0,0,16,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,png_bad
0,7,0,4272,11,180,17,0,0,13,14,6,29,2671,92,0,13,0,0,44,5,9,1166,129,1,2,14,0,0,0,0,214,4989,0,12,0,162,docx_bad
0,0,0,1952,0,30,10,0,0,0,3,0,8,1683,15,0,1,0,0,5,0,3,817,42,1,1,5,0,0,0,0,4,55,0,0,0,41,ppt_bad
0,24,1,6927,21,240,81,0,1,27,22,7,38,3616,140,1,35,0,0,145,2,9,1600,189,1,28,36,0,1,0,0,200,395,0,8,0,190,xlsx_bad
0,17,1,9611,31,401,121,0,1,16,22,6,34,6416,203,1,31,0,0,365,5,11,2815,420,1,46,38,0,1,0,0,251,269,0,21,0,189,doc_bad
0,0,0,13,0,2,1,1,0,0,2,0,0,20,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,15,exe_bad
0,2,4,2527,87,170,65,0,1,18,33,39,22,654,76,4,28,1,1,50,73,12,422,44,0,1,51,0,0,0,0,178,5868,0,126,0,125,xhtml_bad
0,13,1,7051,31,290,78,0,1,16,16,6,36,3674,191,1,30,0,1,175,7,11,1548,172,1,14,22,0,0,0,0,226,233,0,15,0,195,doc_bad
29,0,3,810,29,98,78,0,0,4,20,30,2,248,235,3,10,0,1,2936,0,9,186,135,0,1,21,0,0,0,0,8,5,0,11,66,60,pdf_bad
0,13,0,7891,21,279,65,0,1,16,13,6,32,4649,184,0,30,0,0,160,5,7,1775,168,1,7,24,0,0,0,0,247,190,0,19,0,178,doc_bad
0,0,0,3343,0,90,4,0,0,0,4,1,0,46,66,0,32,0,2,118,0,0,2,37,0,1,0,0,0,0,0,91,3,0,4,0,27,gif_bad
29,0,0,232,0,66,83,0,0,1,10,21,2,66,154,0,5,0,1,1707,0,2,68,119,0,1,0,0,0,0,0,2,3,0,0,67,22,pdf_bad
0,17,1,9196,29,381,101,0,1,16,19,6,34,5751,193,1,32,0,0,300,5,31,2419,254,1,38,36,0,1,0,0,235,1870,0,17,0,192,doc_bad
0,0,0,3280,0,129,1,1,0,0,4,1,0,63,84,0,44,0,1,122,0,0,1,69,0,1,0,0,0,0,0,100,4,0,6,0,35,bmp_bad
0,7,0,6797,21,289,349,0,0,13,15,6,32,3517,179,0,30,0,0,156,5,7,1919,160,1,3,309,0,0,0,0,239,162,0,17,0,163,doc_bad
29,0,0,292,0,68,86,0,0,1,10,21,2,75,187,0,6,0,1,2087,0,2,72,122,0,1,3,0,0,0,0,3,4,0,0,66,28,pdf_bad
0,0,0,3340,0,95,4,0,0,0,4,1,0,46,61,0,28,0,2,118,0,0,2,37,0,1,0,0,0,0,0,86,3,0,4,0,27,gif_bad
0,16,1,4656,29,226,78,0,1,30,21,7,53,3615,110,1,20,0,0,30,2,7,1652,195,1,18,41,0,1,0,0,102,427,0,7,0,186,xlsx_bad
0,0,0,3277,0,124,1,1,0,0,4,1,0,63,80,0,41,0,1,122,0,0,1,69,0,1,0,0,0,0,0,96,4,0,6,0,35,jpg_bad
0,17,2,9043,31,373,109,0,1,16,17,6,33,6030,207,2,30,0,0,243,5,11,2667,262,1,45,35,0,2,0,0,248,253,0,21,0,188,doc_bad
0,0,0,3343,0,95,4,0,0,0,5,1,0,46,63,0,27,0,2,118,0,0,2,37,0,1,0,0,0,0,0,88,3,0,4,0,27,gif_bad
0,17,2,9122,21,361,103,0,1,16,21,6,34,5736,173,2,36,0,0,300,5,31,2422,268,1,38,42,0,2,0,0,229,1127,0,14,0,189,doc_bad
0,7,1,5252,19,197,43,0,0,15,18,5,30,3556,88,1,16,0,0,28,2,32,1246,171,1,18,18,0,1,0,0,447,3266,0,6,0,174,pptx_bad
0,0,0,67,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,8,jpg_bad
29,0,3,816,33,94,83,0,0,6,19,30,2,248,242,3,10,0,1,3001,0,9,191,134,0,1,24,0,0,0,0,8,5,0,11,66,60,pdf_bad
0,17,1,9511,21,401,118,0,1,16,21,6,34,6363,185,1,36,0,0,366,5,31,2792,409,1,44,38,0,1,0,0,248,2035,0,20,0,188,doc_bad
0,27,1,9251,31,388,104,0,1,16,21,6,34,5877,192,1,33,0,0,364,5,33,2458,267,1,32,36,0,1,0,0,236,1173,0,17,0,194,doc_bad
0,13,0,7877,21,298,65,0,1,16,14,6,32,4655,183,0,30,0,0,160,5,7,1779,165,1,8,24,0,0,0,0,241,189,0,19,0,176,doc_bad
0,0,0,3280,0,129,1,1,0,0,4,1,0,63,83,0,42,0,1,122,0,0,1,69,0,1,0,0,0,0,0,99,4,0,6,0,35,jpg_bad
0,7,0,4266,11,183,17,0,0,13,16,6,29,2670,92,0,15,0,0,44,5,9,1166,140,1,2,14,0,0,0,0,214,2446,0,12,0,164,docx_bad
0,7,0,4273,11,181,17,0,0,13,15,6,29,2670,92,0,14,0,0,44,5,9,1164,128,1,2,14,0,0,0,0,208,3218,0,12,0,164,docx_bad
1,0,0,0,0,1,0,1,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,7,1,exe_bad
0,0,0,2718,0,50,0,1,1,0,0,2,0,547,70,0,27,0,0,121,0,2,4,23,0,1,0,0,0,0,0,197,39,0,4,0,30,exe_bad
29,0,0,292,0,68,86,0,0,1,11,21,2,73,187,0,6,0,1,1917,0,2,72,123,0,1,3,0,0,0,0,3,4,0,0,67,28,pdf_bad
0,15,1,9102,31,318,109,0,1,21,16,6,32,5897,207,1,30,0,0,253,5,11,2663,241,1,17,44,0,0,0,0,248,231,0,21,0,187,doc_bad
0,0,0,3280,0,130,1,1,0,0,4,1,0,63,81,0,39,0,1,122,0,0,1,69,0,1,0,0,0,0,0,97,4,0,6,0,35,jpg_bad
29,0,0,292,0,68,86,0,0,1,10,21,2,73,179,0,6,0,1,1963,0,2,72,124,0,1,3,0,0,0,0,3,4,0,0,67,28,pdf_bad
0,0,1,3046,0,112,0,0,0,8,7,1,2,100,65,1,29,0,1,137,0,0,39,43,0,1,0,0,1,0,0,89,3,0,4,0,29,xml_bad
29,0,3,816,30,94,107,0,0,6,16,30,2,255,256,3,10,0,1,3179,0,9,207,133,0,1,24,0,0,0,0,8,5,0,8,66,60,pdf_bad
0,0,0,22,0,3,0,0,0,0,6,0,0,22,3,0,1,0,0,15,0,0,7,78,0,1,0,0,0,0,0,1,2,0,0,0,6,pdf_bad
29,0,3,817,29,99,107,0,0,6,17,30,2,255,256,3,10,0,1,3175,0,9,207,133,0,1,24,0,0,0,0,8,6,0,8,67,61,pdf_bad
0,7,0,4265,11,180,17,0,0,13,14,6,29,2671,92,0,14,0,0,44,5,9,1166,125,1,1,14,0,0,0,0,214,4907,0,12,0,164,docx_bad
0,7,0,10643,21,226,185,0,1,16,14,8,35,4058,181,0,30,0,1,163,4199,7,1928,162,1,6,24,0,0,0,0,1037,171,0,751,0,185,rtf_bad
0,0,0,3280,0,126,1,1,0,0,4,1,0,63,84,0,43,0,1,122,0,0,1,69,0,1,0,0,0,0,0,100,4,0,6,0,35,jpg_bad
0,7,0,4276,11,182,17,0,0,13,15,6,29,2672,92,0,15,0,0,44,5,9,1166,131,1,2,14,0,0,0,0,214,2079,0,12,0,162,docx_bad
0,0,0,3277,0,129,1,1,0,0,4,1,0,63,79,0,40,0,1,122,0,0,1,69,0,1,0,0,0,0,0,95,4,0,6,0,35,jpg_bad
0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,6,gif_bad
0,17,1,9080,29,449,109,0,1,16,21,6,34,6206,204,1,35,0,0,365,5,31,2704,402,1,44,34,0,1,0,0,255,1875,0,21,0,189,doc_bad
0,0,0,4712,0,310,0,0,1,8,3,2,2,140,89,0,36,0,1,214,3,0,38,16,0,1,0,0,0,0,1,248,2,0,89,0,40,exe_bad
29,0,0,308,0,68,86,0,0,1,11,21,2,87,229,0,6,0,1,2908,0,2,72,127,0,1,3,0,0,0,0,3,4,0,0,67,28,pdf_bad
0,17,1,9639,27,456,121,0,1,16,20,6,36,6403,207,1,32,0,0,368,5,31,2821,410,1,35,38,0,1,0,0,256,425,0,21,0,193,doc_bad
0,0,0,16,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,gif_bad
0,0,0,29,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,7,bmp_bad
0,0,0,3277,0,129,1,1,0,0,4,1,0,63,80,0,41,0,1,122,0,0,1,69,0,1,0,0,0,0,0,96,4,0,6,0,35,bmp_bad
0,0,0,3280,0,132,1,1,0,0,4,1,0,63,81,0,40,0,1,122,0,0,1,69,0,1,0,0,0,0,0,97,4,0,6,0,35,jpg_bad
0,7,0,4262,11,191,17,0,0,13,14,6,29,2669,92,0,14,0,0,44,5,9,1164,129,1,2,14,0,0,0,0,208,4294,0,12,0,162,docx_bad
0,33,0,9456,11,2703,51,0,6,14,14,7,34,6546,213,0,32,0,1,200,31,7,2695,171,1,3,37,0,0,1,0,2270,164,0,157,0,222,rtf_bad
0,0,0,1904,0,32,11,0,0,0,6,0,21,1826,19,0,2,0,0,5,0,3,817,54,1,1,5,0,0,0,0,8,48,0,0,0,58,xlsx_bad
0,17,1,9055,29,357,111,0,1,16,19,6,34,6207,207,1,32,0,0,307,5,31,2704,394,1,27,34,0,1,0,0,249,1134,0,21,0,189,doc_bad
0,0,0,17,0,2,0,1,0,0,1,0,0,5,2,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,gif_bad
0,3,0,6881,11,179,19,0,1,13,14,8,29,2932,167,0,28,2,1,177,20,5,1281,158,1,3,16,0,0,1,0,237,112,0,17,0,174,doc_bad
29,0,0,232,0,66,71,0,0,1,11,21,2,65,128,0,5,0,1,1429,0,2,68,120,0,1,0,0,0,0,0,2,3,0,0,66,22,pdf_bad
0,0,1,3043,0,110,0,0,0,8,7,1,2,100,62,1,29,0,1,137,0,0,39,43,0,1,0,0,1,0,0,86,3,0,4,0,29,xml_bad
29,0,0,232,0,66,71,0,0,1,11,21,2,65,129,0,5,0,1,1445,0,2,68,119,0,1,0,0,0,0,0,2,4,0,0,66,22,pdf_bad
29,0,0,292,0,68,63,0,0,2,11,21,2,71,180,0,6,0,1,2126,0,2,58,124,0,1,3,0,0,0,0,3,4,0,3,66,28,pdf_bad
29,0,0,232,0,66,83,0,0,1,10,21,2,66,154,0,5,0,1,1707,0,2,68,120,0,1,0,0,0,0,0,2,3,0,0,67,22,pdf_bad
0,20,2,4679,29,223,79,0,1,30,21,7,53,3635,110,2,20,0,0,30,2,7,1653,206,1,28,40,0,2,0,0,108,498,0,7,0,188,xlsx_bad
29,0,0,304,0,68,87,0,0,2,10,21,2,74,220,0,6,0,1,2744,0,2,74,127,0,1,3,0,0,0,0,3,4,0,3,66,28,pdf_bad
0,0,1,3043,0,118,0,0,0,8,7,1,2,100,62,1,29,0,1,137,0,0,39,43,0,1,0,0,1,0,0,86,3,0,4,0,29,xml_bad
0,0,0,4703,0,310,0,0,1,8,3,2,2,140,88,0,35,0,1,214,3,0,38,16,0,1,0,0,0,0,1,247,2,0,89,0,40,exe_bad
0,0,0,4704,0,311,0,0,1,8,3,2,2,142,89,0,38,0,1,214,3,0,38,16,0,1,0,0,0,0,1,248,2,0,89,0,40,exe_bad
0,0,0,417,0,132,66,0,0,0,1,6,1,153,41,0,30,0,1,38,337,0,109,14,0,1,40,0,0,0,0,364,4,0,21,0,45,exe_bad
0,0,0,3277,0,127,1,1,0,0,4,1,0,63,80,0,41,0,1,122,0,0,1,69,0,1,0,0,0,0,0,96,4,0,6,0,35,bmp_bad
0,7,0,6415,21,218,353,0,0,14,12,6,32,3637,142,0,16,0,0,58,5,7,1953,146,1,3,310,0,0,0,0,187,164,0,17,0,160,doc_bad
0,0,0,0,0,3,0,1,15,0,0,16,0,0,20,0,38,0,1,30,27,0,0,0,0,0,0,0,0,0,0,69,0,4,85,0,0,exe_bad
0,13,0,8075,19,298,87,0,1,16,16,6,32,4771,192,0,30,0,0,167,5,11,1833,165,1,12,24,0,0,0,0,243,200,0,19,0,178,doc_bad
0,17,1,9160,29,375,97,0,4,16,17,6,35,5635,204,1,32,0,0,236,16,33,2350,248,1,51,32,0,1,0,0,235,446,0,23,0,191,doc_bad
0,17,1,10092,29,417,121,0,1,16,19,6,34,6424,204,1,32,0,0,364,5,31,2820,417,1,47,38,0,1,0,0,255,1077,0,21,0,194,doc_bad
0,13,1,9206,29,494,110,0,2,16,19,12,37,5357,276,1,32,0,0,370,13,31,2619,354,1,32,46,0,1,0,0,556,372,0,39,0,198,docx_bad
0,0,0,1903,0,31,11,0,0,0,6,0,21,1827,19,0,2,0,0,5,0,3,817,53,1,1,5,0,0,0,0,8,48,0,0,0,57,xlsx_bad
0,0,0,3343,0,99,4,0,0,0,5,1,0,46,65,0,29,0,2,118,0,0,2,37,0,1,0,0,0,0,0,90,3,0,4,0,27,gif_bad
0,0,0,16,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,jpg_bad
0,0,0,3277,0,131,1,1,0,0,4,1,0,63,79,0,40,0,1,122,0,0,1,69,0,1,0,0,0,0,0,95,4,0,6,0,35,jpg_bad
0,0,0,3343,0,97,4,0,0,0,4,1,0,46,64,0,28,0,2,118,0,0,2,37,0,1,0,0,0,0,0,89,3,0,4,0,27,gif_bad
0,13,0,7630,21,268,48,0,1,16,14,6,35,4385,176,0,30,0,1,160,6,7,1474,160,1,8,22,0,0,0,0,225,192,0,13,0,182,doc_bad
0,24,1,6930,19,247,81,0,1,27,19,7,38,3620,140,1,38,0,0,145,2,9,1600,182,1,30,36,0,1,0,0,202,401,0,8,0,190,xlsx_bad
0,2,4,2525,84,175,66,0,1,18,32,39,22,652,77,4,28,1,1,50,57,12,427,43,0,1,54,0,0,0,0,159,5671,0,110,0,126,xhtml_bad
0,0,0,3286,0,131,1,1,0,0,4,1,0,63,79,0,40,0,1,122,0,0,1,69,0,1,0,0,0,0,0,95,4,0,6,0,35,bmp_bad
0,0,0,3277,0,131,1,1,0,0,4,1,0,63,80,0,41,0,1,122,0,0,1,69,0,1,0,0,0,0,0,96,4,0,6,0,35,jpg_bad
0,0,3,4817,15,110,5,1,0,0,9,2,0,82,88,3,37,0,1,194,1,4,12,23,0,1,9,0,0,0,1,102,121,0,9,0,62,exe_bad
0,0,1,3046,0,111,0,0,0,8,7,1,2,100,64,1,28,0,1,137,0,0,39,43,0,1,0,0,1,0,0,88,3,0,4,0,29,xml_bad
29,0,0,232,0,66,71,0,0,1,9,21,2,66,140,0,5,0,1,1558,0,2,68,119,0,1,0,0,0,0,0,2,3,0,0,67,22,pdf_bad
0,0,0,3343,0,93,4,0,0,0,4,1,0,46,63,0,27,0,2,118,0,0,2,37,0,1,0,0,0,0,0,88,3,0,4,0,27,gif_bad
0,0,0,3277,0,132,1,1,0,0,4,1,0,63,79,0,40,0,1,122,0,0,1,69,0,1,0,0,0,0,0,95,4,0,6,0,35,bmp_bad
29,0,3,810,32,99,78,0,0,4,19,30,2,248,245,3,10,0,1,3025,0,9,186,135,0,1,21,0,0,0,0,8,5,0,11,66,60,pdf_bad
0,17,1,8751,29,392,94,0,1,16,20,6,34,5835,191,1,32,0,0,364,5,31,2391,334,1,42,32,0,1,0,0,233,1711,0,15,0,189,doc_bad
0,20,2,4679,27,226,79,0,1,30,21,7,52,3627,110,2,19,0,0,30,2,7,1653,199,1,36,40,0,2,0,0,114,493,0,7,0,189,xlsx_bad
0,20,1,4626,29,205,65,0,1,30,17,7,54,3521,107,1,19,0,0,30,2,7,1581,177,1,28,38,0,0,0,0,132,415,0,7,0,185,xlsx_bad
0,0,0,3340,0,95,4,1,0,0,5,1,0,46,62,0,29,0,2,118,0,0,2,38,0,1,0,0,0,0,0,87,3,0,4,0,27,gif_bad
0,17,1,8222,29,351,94,0,1,16,18,6,32,4795,196,1,31,0,0,172,5,11,1848,193,1,28,24,0,0,0,0,244,236,0,20,0,185,doc_bad
0,2,4,2558,86,189,72,0,1,18,30,39,20,649,82,4,27,1,1,55,72,12,430,42,0,1,62,0,0,0,0,180,5994,0,127,0,127,xhtml_bad
0,0,0,16,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,bmp_bad
0,0,0,3280,0,127,1,1,0,0,4,1,0,63,81,0,39,0,1,122,0,0,1,69,0,1,0,0,0,0,0,97,4,0,6,0,35,jpg_bad
0,0,0,3277,0,130,1,1,0,0,4,1,0,63,80,0,41,0,1,122,0,0,1,69,0,1,0,0,0,0,0,96,4,0,6,0,35,bmp_bad
0,7,0,3980,11,191,324,0,0,13,13,6,31,2968,118,0,16,0,0,51,5,7,1639,143,1,3,304,0,0,0,0,178,163,0,16,0,158,doc_bad
0,0,0,4712,0,313,0,0,1,8,3,2,2,140,89,0,36,0,1,214,3,0,38,16,0,1,0,0,0,0,1,248,2,0,89,0,40,exe_bad
29,0,0,232,0,66,83,0,0,1,10,21,2,65,154,0,5,0,1,1707,0,2,68,120,0,1,0,0,0,0,0,2,3,0,0,67,22,pdf_bad
